NUM,FECHA,PERSONA,TEMA,ARCHIVO,UBICACION_ORIGINAL,EXT,TAM_KB
096,2026-08-15 (mtime),MARC,CV/Perfil,CVREDES.pdf,MARC\Chat de WhatsApp con MARC\CVREDES.pdf,.pdf,427.5
097,2026-08-15 (mtime),MARC,Chat/Audios,Doc1_Informe_Sesion_Marc_04-05-26.pdf,MARC\Chat de WhatsApp con MARC\Doc1_Informe_Sesion_Marc_04-05-26.pdf,.pdf,95.9
098,2026-08-15 (mtime),MARC,Chat/Audios,Doc2_Plan_Operativo_Marc_04-05-26.pdf,MARC\Chat de WhatsApp con MARC\Doc2_Plan_Operativo_Marc_04-05-26.pdf,.pdf,183.9
099,2026-08-15 (mtime),MARC,Escala/Reuniones,Doc3_Contexto_Escala_Marc.pdf,MARC\Chat de WhatsApp con MARC\Doc3_Contexto_Escala_Marc.pdf,.pdf,132.0
100,2026-08-15 (mtime),MARC,Chat/Audios,Info básic para Sebastian.docx,MARC\Chat de WhatsApp con MARC\Info básic para Sebastian.docx,.docx,14.8
101,2026-08-15 (mtime),MARC,Chat/Audios,INFORME - IMPODERATE.pdf,MARC\Chat de WhatsApp con MARC\INFORME - IMPODERATE.pdf,.pdf,1154.8
102,2026-08-15 (mtime),MARC,General,MARC_1_MINUTO.md,MARC\MARC_1_MINUTO.md,.md,0.7
103,2026-08-15 (mtime),MARC,General,MARC_DOCUMENTO_ALINEACION.md,MARC\MARC_DOCUMENTO_ALINEACION.md,.md,1.7
104,2026-08-15 (mtime),MARC,Escala/Reuniones,MARC_REUNION_BRIEF.md,MARC\MARC_REUNION_BRIEF.md,.md,4.3
105,2026-08-15 (mtime),MARC,Finanzas,Oferta_Colaboracion_Sebastian.xlsx,MARC\Chat de WhatsApp con MARC\Oferta_Colaboracion_Sebastian.xlsx,.xlsx,15.2
106,2026-08-15,MARC,Chat/Audios,PTT-20260815-WA0071.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260815-WA0071.txt,.txt,0.2
107,2026-08-15,MARC,Chat/Audios,PTT-20260815-WA0073.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260815-WA0073.txt,.txt,0.1
108,2026-08-15,MARC,Chat/Audios,PTT-20260815-WA0074.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260815-WA0074.txt,.txt,0.2
109,2026-08-15,MARC,Chat/Audios,PTT-20260815-WA0077.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260815-WA0077.txt,.txt,0.1
110,2026-08-16 (mtime),COMPARTIDO,Auditoría,00_AUDITORIA_MAESTRA_COMPLETA.md,AUDITORIA_GLOBAL\00_AUDITORIA_MAESTRA_COMPLETA.md,.md,21.8
111,2026-08-16 (mtime),COMPARTIDO,Auditoría,00_CONTINUIDAD_ESTADO.md,AUDITORIA_GLOBAL\OTROS DOCUMENTOS POR ORDENAR\00_CONTINUIDAD_ESTADO.md,.md,6.2
